200
400
1,3
2,3
3,6
4,12
5,12
6,27
7,18
8,33
9,21
10,48
11,57
12,45
13,30
14,48
15,69
16,45
17,51
18,63
19,63
20,78
21,111
22,93
23,63
24,93
25,72
26,66
27,129
28,141
29,117
30,72
31,132
32,87
33,126
34,159
35,147
36,108
37,186
38,120
39,99
40,150
41,159
42,195
43,225
44,204
45,204
46,192
47,222
48,138
49,168
50,207
51,186
52,165
53,189
54,180
55,174
56,150
57,243
58,147
59,297
60,177
61,195
62,189
63,222
64,258
65,282
66,234
67,177
68,363
69,333
70,264
71,225
72,321
73,258
74,282
75,372
76,303
77,258
78,246
79,381
80,417
81,432
82,279
83,423
84,381
85,270
86,441
87,423
88,402
89,462
90,366
91,282
92,228
93,297
94,483
95,438
96,249
97,483
98,522
99,321
100,384
101,459
102,258
103,252
104,390
105,489
106,348
107,372
108,339
109,231
110,474
111,300
112,288
113,423
114,387
115,429
116,369
117,294
118,252
119,360
120,429
121,318
122,294
123,312
124,318
125,228
126,243
127,231
128,231
129,288
130,267
131,309
132,276
133,249
134,168
135,339
136,333
137,291
138,309
139,240
140,174
141,147
142,243
143,297
144,228
145,132
146,204
147,156
148,279
149,198
150,168
151,249
152,120
153,156
154,162
155,132
156,120
157,192
158,216
159,174
160,129
161,159
162,159
163,135
164,90
165,144
166,138
167,129
168,99
169,165
170,144
171,153
172,105
173,90
174,87
175,93
176,105
177,60
178,69
179,66
180,81
181,57
182,72
183,75
184,60
185,60
186,63
187,33
188,57
189,30
190,39
191,39
192,36
193,18
194,27
195,15
196,18
197,12
198,3
199,3
200,0
201,6
202,15
203,39
204,33
205,72
206,75
207,102
208,63
209,69
210,111
211,99
212,111
213,108
214,174
215,156
216,201
217,258
218,249
219,138
220,159
221,168
222,216
223,279
224,174
225,180
226,288
227,375
228,417
229,318
230,357
231,480
232,456
233,504
234,321
235,336
236,567
237,396
238,303
239,321
240,543
241,384
242,363
243,639
244,324
245,585
246,456
247,531
248,354
249,567
250,525
251,441
252,435
253,717
254,630
255,543
256,717
257,492
258,660
259,879
260,462
261,456
262,882
263,918
264,732
265,930
266,894
267,921
268,948
269,978
270,1026
271,885
272,561
273,804
274,786
275,921
276,1119
277,633
278,1182
279,1023
280,600
281,1161
282,861
283,1014
284,852
285,780
286,1230
287,846
288,1350
289,720
290,1254
291,972
292,1008
293,1392
294,882
295,1056
296,1509
297,1071
298,1218
299,1518
300,1071
301,1314
302,831
303,1365
304,927
305,1536
306,1599
307,1257
308,1515
309,1659
310,1701
311,1626
312,1317
313,1662
314,1215
315,1812
316,993
317,1797
318,1053
319,2130
320,1743
321,1818
322,2088
323,1932
324,2205
325,1191
326,1713
327,1272
328,1398
329,2283
330,2187
331,1425
332,2172
333,1866
334,1746
335,2370
336,1980
337,2442
338,2598
339,1563
340,2100
341,2532
342,2550
343,2313
344,2013
345,2172
346,2010
347,1608
348,2538
349,1839
350,2361
351,1476
352,1653
353,1764
354,1896
355,1422
356,2610
357,3087
358,2364
359,2493
360,3216
361,2832
362,1713
363,3060
364,3030
365,3270
366,2859
367,3351
368,2262
369,2952
370,1794
371,2289
372,2850
373,2385
374,1740
375,3012
376,1818
377,1815
378,3696
379,3063
380,3483
381,3489
382,3546
383,2457
384,2484
385,2664
386,2094
387,3804
388,3426
389,2598
390,2799
391,2754
392,2373
393,3879
394,1902
395,3048
396,3069
397,2433
398,1983
399,3834
400,2385
400
1,3
2,6
3,12
4,18
5,15
6,27
7,36
8,33
9,30
10,45
11,51
12,57
13,36
14,57
15,66
16,63
17,57
18,63
19,93
20,57
21,66
22,99
23,87
24,105
25,105
26,120
27,114
28,135
29,129
30,144
31,114
32,93
33,141
34,129
35,123
36,138
37,156
38,144
39,99
40,204
41,210
42,150
43,210
44,123
45,240
46,219
47,162
48,210
49,192
50,234
51,243
52,150
53,210
54,141
55,273
56,204
57,255
58,207
59,189
60,279
61,234
62,285
63,162
64,342
65,291
66,186
67,234
68,282
69,369
70,201
71,270
72,276
73,333
74,270
75,339
76,273
77,408
78,384
79,303
80,231
81,393
82,390
83,321
84,414
85,426
86,354
87,396
88,273
89,279
90,426
91,267
92,324
93,426
94,444
95,510
96,477
97,384
98,462
99,477
100,342
101,282
102,522
103,234
104,312
105,252
106,228
107,492
108,255
109,402
110,312
111,357
112,219
113,363
114,399
115,279
116,309
117,435
118,318
119,285
120,270
121,381
122,309
123,357
124,360
125,276
126,216
127,342
128,288
129,195
130,282
131,246
132,165
133,303
134,225
135,270
136,306
137,297
138,186
139,294
140,309
141,234
142,174
143,156
144,261
145,225
146,252
147,156
148,150
149,171
150,183
151,165
152,180
153,159
154,114
155,111
156,114
157,162
158,159
159,99
160,129
161,201
162,138
163,138
164,171
165,102
166,81
167,105
168,81
169,159
170,141
171,78
172,102
173,138
174,105
175,129
176,87
177,114
178,93
179,102
180,63
181,69
182,54
183,51
184,84
185,42
186,54
